loss,accuracy,val_loss,val_accuracy,lr
0.6284060478210449,0.6711772680282593,0.6084699034690857,0.6765899658203125,0.02
0.6105379462242126,0.672530472278595,0.5974055528640747,0.6765899658203125,0.02
0.6062325835227966,0.6735453605651855,0.5933838486671448,0.6765899658203125,0.02
0.5983356833457947,0.6754059791564941,0.5838247537612915,0.6792963743209839,0.02
0.5909423232078552,0.6808186769485474,0.5817633867263794,0.6779431700706482,0.02
0.5758416652679443,0.6945196390151978,0.6282287240028381,0.6481732130050659,0.02
0.5659313797950745,0.7023004293441772,0.553048312664032,0.732746958732605,0.02
0.5460300445556641,0.7212449312210083,0.5413161516189575,0.7408660054206848,0.02
0.5281865000724792,0.7346075773239136,0.5123826861381531,0.7611637115478516,0.02
0.508008599281311,0.7472936511039734,0.4958708882331848,0.7604871392250061,0.02
0.49752187728881836,0.7557510137557983,0.47906967997550964,0.7807848453521729,0.02
0.470828115940094,0.7755412459373474,0.4566482603549957,0.7841677665710449,0.02
0.4556299149990082,0.7823071479797363,0.4667093753814697,0.8051421046257019,0.02
0.45155203342437744,0.7867050170898438,0.43149134516716003,0.782814621925354,0.02
0.4314189851284027,0.7968538403511047,0.4855073392391205,0.7618403434753418,0.02
0.4133114814758301,0.8056495189666748,0.40559908747673035,0.8254398107528687,0.02
0.3963293135166168,0.8159675002098083,0.37546056509017944,0.8538565635681152,0.02
0.36991557478904724,0.8352503180503845,0.36366355419158936,0.8545331358909607,0.02
0.3595498502254486,0.8350812196731567,0.35080695152282715,0.8443843126296997,0.02
0.353809118270874,0.8423545360565186,0.33826759457588196,0.8667117953300476,0.02
0.320400595664978,0.860284149646759,0.31061357259750366,0.884303092956543,0.02
0.3096296191215515,0.8651894330978394,0.3097534477710724,0.8728010654449463,0.02
0.30289921164512634,0.8706021904945374,0.29560473561286926,0.8958051204681396,0.02
0.2789878249168396,0.8785520792007446,0.3047773241996765,0.8876860737800598,0.02
0.2706747353076935,0.8856562972068787,0.2787891924381256,0.8876860737800598,0.02
0.24718590080738068,0.899357259273529,0.32176998257637024,0.8788903951644897,0.02
0.24120117723941803,0.901556134223938,0.26982638239860535,0.898511528968811,0.02
0.228184312582016,0.90950608253479,0.30172672867774963,0.8660351634025574,0.02
0.1990511119365692,0.9218538403511047,0.3280613124370575,0.8667117953300476,0.02
0.18524539470672607,0.9292963743209839,0.3063957691192627,0.889715850353241,0.02
0.17486482858657837,0.9358931183815002,0.2334657907485962,0.9208389520645142,0.02
0.16761714220046997,0.9401217699050903,0.24067538976669312,0.9215155839920044,0.02
0.1546594500541687,0.9433355927467346,0.2555638551712036,0.9133964776992798,0.02
